#ID	prob(Ia)	prob(II)	prob(Ibc)
1	0.314983	0.551916	0.133101
2	0.315628	0.555404	0.128968
3	0.261032	0.638819	0.100149
4	0.238317	0.632247	0.129436
5	0.292974	0.561427	0.145600
6	0.239871	0.653693	0.106437
7	0.303213	0.570512	0.126274
8	0.215215	0.662070	0.122715
9	0.273188	0.601787	0.125025
10	0.263967	0.609604	0.126429
11	0.279016	0.594685	0.126299
12	0.260847	0.620620	0.118534
13	0.295909	0.578843	0.125248
14	0.254804	0.621057	0.124139
15	0.297875	0.575766	0.126359
16	0.253696	0.623907	0.122397
17	0.252237	0.645494	0.102268
18	0.283114	0.581268	0.135618
19	0.253156	0.619576	0.127267
20	0.296194	0.573380	0.130426
21	0.299305	0.558541	0.142154
22	0.321284	0.543091	0.135626
23	0.299380	0.567784	0.132837
24	0.262677	0.615556	0.121767
25	0.262934	0.614363	0.122703
26	0.266477	0.599780	0.133743
27	0.257511	0.609194	0.133295
28	0.303362	0.569974	0.126665
29	0.271334	0.612574	0.116092
30	0.288512	0.572810	0.138678
31	0.253368	0.620244	0.126389
32	0.322720	0.534730	0.142551
33	0.176884	0.689472	0.133644
34	0.283247	0.594116	0.122637
35	0.202021	0.673956	0.124023
36	0.295269	0.580223	0.124508
37	0.254665	0.620790	0.124545
38	0.279414	0.592383	0.128203
39	0.316545	0.554514	0.128941
40	0.233779	0.667873	0.098349
41	0.254588	0.622033	0.123380
42	0.295949	0.573154	0.130896
43	0.284463	0.583090	0.132447
44	0.253073	0.618629	0.128298
45	0.301782	0.567173	0.131045
46	0.278001	0.587706	0.134294
47	0.254205	0.635636	0.110159
48	0.273437	0.603383	0.123180
49	0.245296	0.619054	0.135650
50	0.321522	0.536828	0.141650
51	0.301708	0.564250	0.134042
52	0.304707	0.564902	0.130392
53	0.278941	0.593102	0.127958
54	0.274082	0.596503	0.129416
55	0.323915	0.542192	0.133893
56	0.295276	0.571473	0.133250
57	0.278639	0.596597	0.124764
58	0.287251	0.577058	0.135691
59	0.304775	0.565369	0.129857
60	0.279399	0.585777	0.134824
61	0.276995	0.586907	0.136098
62	0.285371	0.581484	0.133145
63	0.319259	0.546378	0.134364
64	0.288158	0.575355	0.136486
65	0.264882	0.603971	0.131147
66	0.307314	0.547991	0.144694
67	0.285133	0.580098	0.134769
68	0.293318	0.579514	0.127169
69	0.288489	0.575151	0.136361
70	0.291201	0.579536	0.129263
71	0.292484	0.576686	0.130830
72	0.226148	0.654643	0.119209
73	0.253279	0.623265	0.123456
74	0.276037	0.599057	0.124906
75	0.308816	0.555721	0.135463
76	0.247216	0.653501	0.099283
77	0.272805	0.601216	0.125980
78	0.313307	0.557391	0.129302
79	0.237845	0.635538	0.126617
80	0.275913	0.599584	0.124503
81	0.311697	0.555946	0.132357
82	0.314650	0.550281	0.135069
83	0.294896	0.575335	0.129769
84	0.323425	0.545245	0.131330
85	0.272015	0.609934	0.118051
86	0.303051	0.566550	0.130399
87	0.194550	0.692205	0.113245
88	0.292923	0.566829	0.140248
89	0.260811	0.614988	0.124200
90	0.290588	0.572553	0.136859
91	0.276706	0.594026	0.129268
92	0.282741	0.601205	0.116055
93	0.263147	0.620990	0.115863
94	0.236371	0.636476	0.127153
95	0.251274	0.623612	0.125114
96	0.232349	0.679282	0.088368
97	0.282819	0.587567	0.129614
98	0.296857	0.568757	0.134386
99	0.264921	0.606412	0.128668
100	0.285518	0.581217	0.133265
101	0.252489	0.612557	0.134954
102	0.303395	0.563814	0.132790
103	0.294777	0.576951	0.128272
104	0.289320	0.568668	0.142012
105	0.297303	0.555940	0.146757
106	0.257078	0.616365	0.126557
107	0.290107	0.574655	0.135239
108	0.278141	0.571896	0.149963
109	0.255837	0.619030	0.125133
110	0.306788	0.562344	0.130868
111	0.283267	0.588316	0.128417
112	0.301805	0.571247	0.126947
113	0.301138	0.567881	0.130981
114	0.306770	0.559031	0.134200
115	0.284543	0.582455	0.133002
116	0.249738	0.626256	0.124006
117	0.269377	0.610104	0.120519
118	0.275254	0.593252	0.131494
119	0.319166	0.546830	0.134003
120	0.293889	0.555782	0.150329
121	0.253545	0.623859	0.122596
122	0.266820	0.600333	0.132848
123	0.286008	0.578009	0.135983
124	0.309181	0.560791	0.130027
125	0.293862	0.566221	0.139916
126	0.301887	0.562963	0.135150
127	0.275602	0.592773	0.131625
128	0.306802	0.557543	0.135655
129	0.307697	0.567222	0.125081
130	0.274819	0.596210	0.128971
131	0.202171	0.690119	0.107710
132	0.299960	0.574656	0.125384
133	0.270579	0.603758	0.125662
134	0.258192	0.613689	0.128120
135	0.277267	0.596527	0.126207
136	0.290098	0.569432	0.140470
137	0.299465	0.576300	0.124235
138	0.296734	0.573304	0.129962
139	0.274053	0.591090	0.134858
140	0.317567	0.547612	0.134821
141	0.239427	0.632907	0.127667
142	0.300801	0.566004	0.133195
143	0.323820	0.547582	0.128597
144	0.237689	0.667876	0.094435
145	0.307853	0.559759	0.132388
146	0.320489	0.547202	0.132308
147	0.314647	0.549771	0.135582
148	0.299736	0.565615	0.134649
149	0.308454	0.562679	0.128867
150	0.263855	0.605145	0.131000
151	0.292385	0.576403	0.131212
152	0.255602	0.617671	0.126727
153	0.270570	0.603192	0.126238
154	0.277945	0.589336	0.132719
155	0.296690	0.570798	0.132512
156	0.308916	0.563118	0.127965
157	0.295857	0.578620	0.125522
158	0.274889	0.594008	0.131104
159	0.240742	0.628096	0.131162
160	0.283856	0.590099	0.126045
161	0.284865	0.587037	0.128098
162	0.285189	0.586644	0.128167
163	0.292775	0.565455	0.141770
164	0.196812	0.700000	0.103188
165	0.301522	0.567706	0.130772
166	0.291798	0.570597	0.137605
167	0.276625	0.596722	0.126653
168	0.239140	0.659593	0.101267
169	0.283853	0.583960	0.132187
170	0.256393	0.617068	0.126539
171	0.268823	0.606668	0.124510
172	0.317827	0.547851	0.134321
173	0.294363	0.569824	0.135812
174	0.292020	0.564397	0.143582
175	0.299109	0.569021	0.131870
176	0.233957	0.674965	0.091079
177	0.236381	0.663062	0.100557
178	0.320447	0.547718	0.131835
179	0.232280	0.642853	0.124867
180	0.198267	0.688909	0.112824
181	0.233827	0.670395	0.095779
182	0.297277	0.563984	0.138739
183	0.129717	0.736286	0.133997
184	0.309008	0.558219	0.132773
185	0.253975	0.622433	0.123592
186	0.273502	0.603123	0.123376
187	0.284597	0.589547	0.125856
188	0.300878	0.572235	0.126887
189	0.234266	0.674055	0.091679
190	0.254385	0.617379	0.128236
191	0.284639	0.582585	0.132776
192	0.267120	0.598085	0.134796
193	0.279330	0.594051	0.126619
194	0.292773	0.568725	0.138502
195	0.283635	0.584082	0.132283
196	0.234880	0.663981	0.101139
197	0.300857	0.559821	0.139322
198	0.292203	0.561126	0.146671
199	0.312989	0.555608	0.131403
200	0.309987	0.558381	0.131632
201	0.253593	0.624481	0.121926
202	0.286167	0.582499	0.131334
203	0.254981	0.616897	0.128121
204	0.284823	0.587950	0.127227
205	0.301988	0.564423	0.133589
206	0.235849	0.663619	0.100533
207	0.259101	0.598193	0.142705
208	0.273855	0.595531	0.130614
209	0.307587	0.554142	0.138271
210	0.282489	0.590311	0.127200
211	0.203045	0.687412	0.109544
212	0.314785	0.554717	0.130498
213	0.311357	0.554333	0.134310
214	0.264633	0.614556	0.120811
215	0.284237	0.582810	0.132953
216	0.309915	0.560854	0.129231
217	0.257812	0.617532	0.124656
218	0.277798	0.589658	0.132544
219	0.257003	0.627292	0.115705
220	0.282492	0.578331	0.139177
221	0.291468	0.571733	0.136798
222	0.283748	0.590164	0.126088
223	0.290791	0.571358	0.137851
224	0.281735	0.581018	0.137247
225	0.277236	0.585472	0.137292
226	0.235326	0.636868	0.127805
227	0.289206	0.574520	0.136274
228	0.320681	0.545921	0.133398
229	0.231925	0.670586	0.097489
230	0.260164	0.618053	0.121782
231	0.238692	0.630245	0.131062
232	0.181642	0.713196	0.105163
233	0.297270	0.557967	0.144763
234	0.323442	0.533006	0.143552
235	0.284068	0.583116	0.132816
236	0.300991	0.565989	0.133020
237	0.295212	0.574954	0.129834
238	0.310661	0.557936	0.131403
239	0.267081	0.601389	0.131531
240	0.296260	0.565330	0.138410
241	0.278690	0.591712	0.129598
242	0.289452	0.573612	0.136936
243	0.279509	0.586143	0.134348
244	0.297359	0.555512	0.147129
245	0.265055	0.603488	0.131457
246	0.295050	0.556319	0.148630
247	0.239666	0.633413	0.126922
248	0.287209	0.581738	0.131052
249	0.269084	0.599366	0.131550
250	0.273850	0.601587	0.124564
251	0.239920	0.635812	0.124267
252	0.307055	0.561788	0.131157
253	0.294615	0.571218	0.134167
254	0.274072	0.607797	0.118131
255	0.257442	0.630127	0.112431
256	0.253199	0.622557	0.124244
257	0.303568	0.557084	0.139348
258	0.262984	0.616204	0.120812
259	0.269557	0.617447	0.112996
260	0.313430	0.555907	0.130662
261	0.309783	0.560313	0.129903
262	0.252464	0.621594	0.125942
263	0.280440	0.588146	0.131415
264	0.309934	0.555449	0.134617
265	0.253706	0.623582	0.122712
266	0.239311	0.634656	0.126033
267	0.253430	0.620754	0.125816
268	0.294258	0.580467	0.125275
269	0.314229	0.553547	0.132224
270	0.267321	0.614605	0.118074
271	0.253344	0.637287	0.109369
272	0.218415	0.649138	0.132448
273	0.323732	0.544371	0.131897
274	0.298200	0.564285	0.137515
275	0.304277	0.570395	0.125328
276	0.266488	0.601142	0.132370
277	0.279215	0.589014	0.131771
278	0.302040	0.570683	0.127277
279	0.297209	0.557612	0.145178
280	0.257633	0.631993	0.110374
281	0.255314	0.620715	0.123972
282	0.284959	0.567640	0.147401
283	0.261416	0.617928	0.120656
284	0.296785	0.573062	0.130153
285	0.317580	0.546010	0.136411
286	0.284192	0.586129	0.129680
287	0.281891	0.589529	0.128580
288	0.286231	0.570331	0.143438
289	0.278548	0.572203	0.149249
290	0.283399	0.588831	0.127769
291	0.302254	0.567890	0.129856
292	0.256640	0.616552	0.126808
293	0.299536	0.570216	0.130248
294	0.269975	0.616370	0.113655
295	0.277457	0.592088	0.130455
296	0.324037	0.541758	0.134205
297	0.293013	0.581254	0.125733
298	0.268393	0.607408	0.124199
299	0.242758	0.653475	0.103767
300	0.262288	0.617608	0.120104
301	0.281691	0.601670	0.116639
302	0.256901	0.618089	0.125009
303	0.292509	0.565693	0.141798
304	0.263397	0.611762	0.124842
305	0.293132	0.582964	0.123904
306	0.217557	0.659634	0.122809
307	0.280047	0.591622	0.128331
308	0.307457	0.557748	0.134795
309	0.239514	0.634048	0.126438
310	0.256328	0.633793	0.109878
311	0.257538	0.614460	0.128002
312	0.250813	0.636991	0.112195
313	0.298576	0.571470	0.129955
314	0.241123	0.642473	0.116403
315	0.284467	0.595015	0.120518
316	0.284158	0.590678	0.125163
317	0.259060	0.625181	0.115760
318	0.278112	0.596247	0.125640
319	0.293067	0.583201	0.123732
320	0.239847	0.624344	0.135809
321	0.240447	0.674634	0.084919
322	0.281780	0.584003	0.134216
323	0.277865	0.592875	0.129260
324	0.288636	0.578121	0.133244
325	0.305661	0.569257	0.125082
326	0.287740	0.574195	0.138065
327	0.290749	0.571704	0.137547
328	0.302975	0.561511	0.135514
329	0.238663	0.634750	0.126587
330	0.292249	0.575980	0.131771
331	0.238083	0.635048	0.126870
332	0.293005	0.566663	0.140332
333	0.274454	0.602271	0.123274
334	0.291641	0.564271	0.144088
335	0.253804	0.624230	0.121966
336	0.301843	0.564058	0.134099
337	0.304370	0.569666	0.125964
338	0.278221	0.591576	0.130202
339	0.271055	0.603513	0.125432
340	0.298897	0.564201	0.136902
341	0.263170	0.601720	0.135110
342	0.310327	0.560598	0.129075
343	0.236155	0.661557	0.102288
344	0.279100	0.594133	0.126767
345	0.274115	0.601988	0.123897
346	0.300809	0.568607	0.130584
347	0.265204	0.603854	0.130942
348	0.234572	0.632600	0.132828
349	0.322651	0.533672	0.143677
350	0.272234	0.599441	0.128325
351	0.253515	0.614118	0.132367
352	0.242409	0.657252	0.100339
353	0.307249	0.559679	0.133072
354	0.205119	0.674963	0.119918
355	0.269328	0.612798	0.117875
356	0.241271	0.627006	0.131723
357	0.282007	0.584744	0.133249
358	0.298449	0.567847	0.133705
359	0.247845	0.645771	0.106384
360	0.237796	0.634009	0.128195
361	0.227202	0.678858	0.093940
362	0.278197	0.593964	0.127839
363	0.261806	0.617826	0.120368
364	0.283493	0.583330	0.133177
365	0.313543	0.553145	0.133312
366	0.262268	0.617242	0.120489
367	0.272895	0.600800	0.126304
368	0.316139	0.553651	0.130210
369	0.276669	0.596129	0.127201
370	0.264321	0.607376	0.128303
371	0.237134	0.634012	0.128854
372	0.244732	0.661524	0.093744
373	0.306349	0.564164	0.129487
374	0.262782	0.610063	0.127154
375	0.303663	0.564549	0.131788
376	0.264190	0.615875	0.119935
377	0.276161	0.591981	0.131858
378	0.284121	0.583658	0.132221
379	0.318272	0.547096	0.134631
380	0.283067	0.580959	0.135974
381	0.264089	0.624258	0.111653
382	0.310968	0.558785	0.130248
383	0.306968	0.550705	0.142327
384	0.310741	0.558727	0.130532
385	0.303555	0.567109	0.129335
386	0.269655	0.609206	0.121138
387	0.297549	0.576440	0.126011
388	0.315598	0.553880	0.130522
389	0.299184	0.573079	0.127737
390	0.284378	0.588688	0.126934
391	0.295151	0.580793	0.124056
392	0.295671	0.554318	0.150012
393	0.235116	0.669237	0.095647
394	0.310330	0.556067	0.133603
395	0.269181	0.607535	0.123284
396	0.240505	0.662613	0.096882
397	0.266067	0.616263	0.117671
398	0.288925	0.577803	0.133272
399	0.289525	0.587817	0.122658
400	0.278735	0.593539	0.127726
401	0.272841	0.612136	0.115023
402	0.273526	0.602122	0.124353
403	0.235736	0.657941	0.106323
404	0.292065	0.577634	0.130301
405	0.324038	0.542425	0.133537
406	0.293357	0.564046	0.142597
407	0.287562	0.590762	0.121676
408	0.300079	0.566684	0.133237
409	0.292076	0.565521	0.142402
